group,time,collectivism,individualism,satisfaction
9,38,3.865277196,5.350400488,3.704132663
9,38,3.865277196,3.796064078,3.168695035
9,38,4.358363598,5.202368449,2.633257407
9,38,3.680369796,3.648032039,3.627641573
9,38,4.728178399,5.202368449,1.944837599
9,38,5.2829006,4.536224273,2.480275227
9,38,5.159629,3.796064078,2.327293048
9,38,4.173456197,3.796064078,2.480275227
9,38,4.173456197,5.128352429,2.862730676
9,38,4.543270998,3.944096117,3.168695035
10,39,4.913085799,5.424416507,2.939221766
10,39,4.789814199,3.870080098,2.633257407
10,39,5.2212648,3.5,3.704132663
11,42,2.940740193,2.833855824,4.54553465
11,42,3.557098195,3.57401602,4.54553465
11,42,4.173456197,2.685823785,3.857114842
11,42,3.433826595,2.759839805,3.933605932
11,42,3.125647594,2.981887863,3.015712855
11,42,2.817468593,2.759839805,2.862730676
11,42,3.618733995,3.57401602,3.474659394
11,42,4.111820397,1.649599512,4.239570291
11,42,3.433826595,3.277951941,2.556766317
11,42,2.632561193,3.722048059,3.168695035
11,42,3.002375994,3.5,3.321677214
11,42,2.940740193,2.389759707,3.245186124
12,43,3.064011794,2.981887863,3.933605932
12,43,3.064011794,3.722048059,3.933605932
12,43,3.372190795,2.093695629,6.381320803
12,43,3.002375994,1.131487376,4.31606138
12,43,2.755832793,2.537791746,3.704132663
12,43,2.447653792,2.833855824,3.933605932
12,43,2.077838991,2.389759707,2.480275227
12,43,2.570925392,1.205503395,4.239570291
12,43,2.879104393,1.797631551,3.321677214
13,43,3.064011794,3.57401602,2.250801958
13,43,2.570925392,5.868512624,3.551150483
13,43,3.557098195,4.536224273,3.015712855
13,43,2.139474791,5.05433641,3.015712855
13,43,2.262746392,5.350400488,3.551150483
13,43,1.64638839,4.018112137,2.556766317
13,43,2.632561193,3.42598398,3.704132663
13,43,1.64638839,3.870080098,3.474659394
13,43,2.570925392,4.314176215,3.857114842
13,43,4.050184597,5.05433641,4.239570291
14,44,4.235091997,5.868512624,3.933605932
14,44,4.296727797,5.05433641,3.474659394
14,44,4.666542598,4.610240293,3.398168304
14,44,4.789814199,4.758272332,3.321677214
14,44,3.557098195,3.57401602,3.168695035
14,44,3.557098195,4.758272332,3.857114842
14,44,4.173456197,4.462208254,3.474659394
14,44,4.358363598,4.240160195,2.709748496
14,44,4.913085799,4.462208254,5.233954457
15,45,4.358363598,2.981887863,4.851499009
15,45,4.358363598,2.611807766,4.163079201
15,45,3.865277196,2.463775727,5.463427726
15,45,4.235091997,3.055903883,4.163079201
15,45,3.865277196,2.389759707,3.780623752
15,45,4.173456197,2.611807766,5.004481188
15,45,4.789814199,2.907871844,5.310445547
16,46,4.111820397,3.722048059,3.398168304
16,46,4.913085799,3.722048059,4.39255247
16,46,4.358363598,3.57401602,4.851499009
16,46,5.2829006,3.870080098,3.933605932
16,46,4.604906798,4.240160195,4.39255247
16,46,4.974721599,3.055903883,5.004481188
17,42,3.988548796,2.981887863,5.616409906
17,42,3.433826595,1.575583493,5.769392085
17,42,3.680369796,2.241727668,5.080972278
17,42,3.372190795,1.797631551,5.157463367
17,42,2.077838991,1.205503395,3.704132663
17,42,2.940740193,1.575583493,3.780623752
17,42,2.570925392,3.129919902,4.46904356
18,43,3.742005596,2.463775727,4.927990098
18,43,3.002375994,3.57401602,3.551150483
18,43,3.680369796,2.01967961,2.939221766
18,43,2.694196993,2.01967961,3.398168304
18,43,2.447653792,2.389759707,3.321677214
18,43,2.262746392,1.205503395,2.250801958
18,43,1.89293159,1.94566359,2.556766317
18,43,2.570925392,3.57401602,3.092203945
18,43,2.570925392,2.389759707,2.939221766
18,43,4.050184597,2.01967961,4.086588111
18,43,3.125647594,1.797631551,2.403784138
18,43,1.70802419,2.833855824,3.168695035
18,43,2.447653792,2.833855824,3.474659394
18,43,2.509289592,2.093695629,2.862730676
18,43,3.742005596,1.94566359,3.627641573
18,43,3.803641396,2.01967961,2.709748496
18,43,1.70802419,3.57401602,3.627641573
18,43,2.879104393,3.648032039,4.086588111
19,43,4.050184597,3.722048059,3.627641573
19,43,2.879104393,4.314176215,3.474659394
19,43,3.187283394,4.98032039,3.015712855
19,43,3.187283394,4.98032039,3.015712855
19,43,2.324382192,3.203935922,2.556766317
19,43,2.632561193,4.610240293,3.168695035
19,43,3.064011794,4.462208254,2.939221766
19,43,3.495462395,4.758272332,3.627641573
19,43,2.016203191,4.462208254,3.015712855
19,43,2.817468593,4.758272332,2.939221766
19,43,3.495462395,4.314176215,3.933605932
19,43,3.002375994,4.462208254,3.780623752
19,43,3.433826595,4.98032039,4.239570291
20,42,5.2829006,3.277951941,6.075356444
20,42,4.358363598,1.353535434,5.616409906
20,42,4.974721599,2.093695629,5.616409906
20,42,5.960894402,2.463775727,5.922374265
20,42,3.926912996,3.5,6.075356444
20,42,5.0979932,3.870080098,4.851499009
20,42,5.591079601,1,5.157463367
